Div,Date,Time,HomeTeam,AwayTeam,FTHomeGoals,FTAwayGoals,FTResult,HomeShots,AwayShots,HomeYellow,AwayYellow,HomeRed,AwayRed
SP1,13/01/2024,20:00,Betis,Granada,1,0,H,25,6,3,4,0,0
SP1,14/01/2024,13:00,Almeria,Girona,0,0,D,20,5,4,4,0,1
SP1,14/01/2024,15:15,Cadiz,Valencia,1,4,A,10,9,4,2,0,0
SP1,19/01/2024,20:00,Alaves,Cadiz,1,0,H,13,9,0,4,0,0
SP1,20/01/2024,13:00,Vallecano,Las Palmas,0,2,A,16,10,3,1,1,0
SP1,20/01/2024,15:15,Villarreal,Mallorca,1,1,D,18,8,2,2,1,0
SP1,20/01/2024,17:30,Valencia,Ath Bilbao,1,0,H,6,6,0,3,0,0
SP1,20/01/2024,20:00,Celta,Sociedad,0,1,A,6,6,1,2,0,0
SP1,21/01/2024,13:00,Osasuna,Getafe,3,2,H,13,10,4,4,0,0
SP1,21/01/2024,15:15,Real Madrid,Almeria,3,2,H,18,10,3,5,0,0
SP1,21/01/2024,17:30,Betis,Barcelona,2,4,A,14,11,1,2,0,0
SP1,21/01/2024,20:00,Girona,Sevilla,5,1,H,12,9,0,2,0,0
SP1,22/01/2024,20:00,Granada,Ath Madrid,0,1,A,17,10,2,2,1,0
SP1,26/01/2024,20:00,Almeria,Alaves,0,3,A,19,11,1,2,0,0
SP1,27/01/2024,13:00,Sociedad,Vallecano,0,0,D,6,5,2,4,0,0
SP1,27/01/2024,15:15,Las Palmas,Real Madrid,1,2,A,7,13,3,3,0,0
SP1,27/01/2024,17:30,Barcelona,Villarreal,3,5,A,22,9,3,4,0,0
SP1,27/01/2024,20:00,Mallorca,Betis,0,1,A,14,8,2,1,0,0
SP1,28/01/2024,13:00,Celta,Girona,0,1,A,10,15,1,1,0,0
SP1,28/01/2024,15:15,Cadiz,Ath Bilbao,0,0,D,9,8,4,2,0,0
SP1,28/01/2024,17:30,Sevilla,Osasuna,1,1,D,10,11,3,0,1,0
SP1,28/01/2024,20:00,Ath Madrid,Valencia,2,0,H,12,10,2,0,0,0
SP1,29/01/2024,20:00,Getafe,Granada,2,0,H,7,16,2,1,0,0
SP1,31/01/2024,18:00,Barcelona,Osasuna,1,0,H,16,9,1,2,0,1
SP1,31/01/2024,20:00,Ath Madrid,Vallecano,2,1,H,8,10,0,3,0,0
SP1,1/2/2024,20:00,Getafe,Real Madrid,0,2,A,10,16,1,2,0,0
SP1,2/2/2024,20:00,Ath Bilbao,Mallorca,4,0,H,13,6,0,1,0,0
SP1,3/2/2024,13:00,Valencia,Almeria,2,1,H,7,15,4,5,0,0
SP1,3/2/2024,15:15,Granada,Las Palmas,1,1,D,3,16,4,3,1,1
